start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
6/27/2020 8:20,34609,Volskaya Industries,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,2,1
6/27/2020 8:48,34609,Watchpoint: Gibraltar,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,Chengdu Hunters,3,2
6/27/2020 9:13,34609,Hollywood,Guangzhou Charge,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,4,3
6/27/2020 9:48,34608,Ilios,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Seoul Dynasty,2,1
6/27/2020 10:09,34608,Temple of Anubis,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,2,1
6/27/2020 10:35,34608,Rialto,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,3,1
6/27/2020 10:57,34608,Hollywood,Seoul Dynasty,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,3,2
6/27/2020 11:28,34607,Lijiang Tower,Hangzhou Spark,London Spitfire,London Spitfire,London Spitfire,2,0
6/27/2020 11:46,34607,Volskaya Industries,Hangzhou Spark,London Spitfire,London Spitfire,London Spitfire,4,3
6/27/2020 12:20,34607,Rialto,Hangzhou Spark,London Spitfire,London Spitfire,London Spitfire,3,1
6/27/2020 19:09,34606,Oasis,Florida Mayhem,Houston Outlaws,Florida Mayhem,Florida Mayhem,2,1
6/27/2020 19:31,34606,Volskaya Industries,Houston Outlaws,Florida Mayhem,Florida Mayhem,Florida Mayhem,5,4
6/27/2020 20:15,34606,Junkertown,Houston Outlaws,Florida Mayhem,Florida Mayhem,Houston Outlaws,3,2
6/27/2020 20:37,34606,Blizzard World,Florida Mayhem,Houston Outlaws,Florida Mayhem,Houston Outlaws,3,0
6/27/2020 20:58,34606,Nepal,Florida Mayhem,Houston Outlaws,Florida Mayhem,Florida Mayhem,2,0
6/27/2020 21:29,34605,Oasis,Dallas Fuel,Toronto Defiant,Dallas Fuel,Dallas Fuel,2,1
6/27/2020 21:51,34605,Hanamura,Toronto Defiant,Dallas Fuel,Dallas Fuel,Dallas Fuel,2,1
6/27/2020 23:05,34605,Watchpoint: Gibraltar,Toronto Defiant,Dallas Fuel,Dallas Fuel,Dallas Fuel,3,2
6/27/2020 23:42,34604,Lijiang Tower,Vancouver Titans,Boston Uprising,Vancouver Titans,Vancouver Titans,2,1
6/28/2020 0:02,34604,Hanamura,Vancouver Titans,Boston Uprising,Vancouver Titans,Vancouver Titans,4,3
6/28/2020 0:40,34604,Watchpoint: Gibraltar,Vancouver Titans,Boston Uprising,Vancouver Titans,Vancouver Titans,4,3
6/28/2020 1:24,34603,Lijiang Tower,Washington Justice,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
6/28/2020 1:40,34603,Volskaya Industries,Washington Justice,Los Angeles Gladiators,Los Angeles Gladiators,draw,2,2
6/28/2020 2:18,34603,Rialto,Washington Justice,Los Angeles Gladiators,Los Angeles Gladiators,Washington Justice,1,0
6/28/2020 2:31,34603,Hollywood,Los Angeles Gladiators,Washington Justice,Los Angeles Gladiators,Los Angeles Gladiators,2,1
6/28/2020 2:50,34603,Busan,Washington Justice,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
6/28/2020 8:05,34602,Oasis,Shanghai Dragons,Hangzhou Spark,Shanghai Dragons,Shanghai Dragons,2,0
6/28/2020 8:17,34602,Volskaya Industries,Hangzhou Spark,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,4,3
6/28/2020 8:48,34602,Junkertown,Hangzhou Spark,Shanghai Dragons,Shanghai Dragons,Shanghai Dragons,3,1
6/28/2020 9:24,34601,Busan,Chengdu Hunters,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,0
6/28/2020 9:38,34601,Temple of Anubis,Chengdu Hunters,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,1
6/28/2020 10:06,34601,Watchpoint: Gibraltar,Chengdu Hunters,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,3,0
6/28/2020 10:37,34642,Nepal,New York Excelsior,Guangzhou Charge,Guangzhou Charge,New York Excelsior,2,0
6/28/2020 10:51,34642,Temple of Anubis,Guangzhou Charge,New York Excelsior,Guangzhou Charge,Guangzhou Charge,3,2
6/28/2020 11:22,34642,Watchpoint: Gibraltar,Guangzhou Charge,New York Excelsior,Guangzhou Charge,New York Excelsior,4,3
6/28/2020 11:51,34642,Blizzard World,Guangzhou Charge,New York Excelsior,Guangzhou Charge,Guangzhou Charge,1,0
6/28/2020 12:04,34642,Lijiang Tower,New York Excelsior,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,2,0
6/28/2020 19:11,34641,Nepal,Los Angeles Valiant,Paris Eternal,Paris Eternal,Paris Eternal,2,1
6/28/2020 19:33,34641,Hanamura,Los Angeles Valiant,Paris Eternal,Paris Eternal,Paris Eternal,2,1
6/28/2020 20:01,34641,Junkertown,Los Angeles Valiant,Paris Eternal,Paris Eternal,Los Angeles Valiant,3,2
6/28/2020 20:22,34641,Hollywood,Los Angeles Valiant,Paris Eternal,Paris Eternal,Paris Eternal,3,1
6/28/2020 20:53,34627,Oasis,Atlanta Reign,Vancouver Titans,Atlanta Reign,Atlanta Reign,2,1
6/28/2020 21:17,34627,Hanamura,Vancouver Titans,Atlanta Reign,Atlanta Reign,Atlanta Reign,2,1
6/28/2020 21:50,34627,Watchpoint: Gibraltar,Vancouver Titans,Atlanta Reign,Atlanta Reign,Atlanta Reign,3,0
6/28/2020 22:25,34626,Ilios,Philadelphia Fusion,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,0
6/28/2020 22:43,34626,Hanamura,Philadelphia Fusion,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,1
6/28/2020 23:10,34626,Rialto,Philadelphia Fusion,San Francisco Shock,San Francisco Shock,San Francisco Shock,3,2
6/28/2020 23:44,34745,Busan,Washington Justice,Boston Uprising,Washington Justice,Boston Uprising,2,1
6/29/2020 0:04,34745,Hollywood,Washington Justice,Boston Uprising,Washington Justice,Washington Justice,5,4
6/29/2020 0:42,34745,Temple of Anubis,Washington Justice,Boston Uprising,Washington Justice,Washington Justice,3,2
6/29/2020 1:04,34745,Rialto,Washington Justice,Boston Uprising,Washington Justice,Washington Justice,2,1
7/3/2020 19:10,34741,Lijiang Tower,Dallas Fuel,Paris Eternal,Paris Eternal,Paris Eternal,2,0
7/3/2020 19:27,34741,King's Row,Dallas Fuel,Paris Eternal,Paris Eternal,Dallas Fuel,2,1
7/3/2020 19:56,34741,Hanamura,Dallas Fuel,Paris Eternal,Paris Eternal,Paris Eternal,3,2
7/3/2020 20:20,34741,Watchpoint: Gibraltar,Paris Eternal,Dallas Fuel,Paris Eternal,Paris Eternal,1,0
7/3/2020 20:44,34742,Busan,Houston Outlaws,Florida Mayhem,Houston Outlaws,Florida Mayhem,2,0
7/3/2020 21:02,34742,Blizzard World,Florida Mayhem,Houston Outlaws,Houston Outlaws,Houston Outlaws,1,0
7/3/2020 21:36,34742,Hanamura,Houston Outlaws,Florida Mayhem,Houston Outlaws,Houston Outlaws,5,4
7/3/2020 22:02,34742,Rialto,Houston Outlaws,Florida Mayhem,Houston Outlaws,Houston Outlaws,1,0
7/3/2020 22:26,34744,Busan,Toronto Defiant,Los Angeles Valiant,Toronto Defiant,Los Angeles Valiant,2,1
7/3/2020 22:45,34744,King's Row,Los Angeles Valiant,Toronto Defiant,Toronto Defiant,Toronto Defiant,4,3
7/3/2020 23:24,34744,Temple of Anubis,Toronto Defiant,Los Angeles Valiant,Toronto Defiant,Toronto Defiant,1,0
7/3/2020 23:38,34744,Junkertown,Toronto Defiant,Los Angeles Valiant,Toronto Defiant,Toronto Defiant,6,3
7/4/2020 0:15,34743,Busan,Washington Justice,Los Angeles Gladiators,Washington Justice,Los Angeles Gladiators,2,1
7/4/2020 0:34,34743,King's Row,Washington Justice,Los Angeles Gladiators,Washington Justice,Washington Justice,3,2
7/4/2020 1:08,34743,Temple of Anubis,Washington Justice,Los Angeles Gladiators,Washington Justice,Washington Justice,1,0
7/4/2020 1:22,34743,Junkertown,Washington Justice,Los Angeles Gladiators,Washington Justice,Washington Justice,2,1
7/4/2020 8:30,34755,Busan,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,2,0
7/4/2020 8:46,34755,King's Row,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,Guangzhou Charge,4,3
7/4/2020 9:17,34755,Temple of Anubis,Guangzhou Charge,Chengdu Hunters,Guangzhou Charge,Guangzhou Charge,3,2
7/4/2020 9:52,34754,Nepal,Seoul Dynasty,London Spitfire,Seoul Dynasty,Seoul Dynasty,2,0
7/4/2020 10:06,34754,Blizzard World,Seoul Dynasty,London Spitfire,Seoul Dynasty,Seoul Dynasty,4,3
7/4/2020 10:43,34754,Temple of Anubis,Seoul Dynasty,London Spitfire,Seoul Dynasty,London Spitfire,3,2
7/4/2020 11:10,34754,Watchpoint: Gibraltar,London Spitfire,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,0
7/4/2020 11:57,34756,Nepal,Hangzhou Spark,New York Excelsior,New York Excelsior,New York Excelsior,2,0
7/4/2020 12:12,34756,Hollywood,Hangzhou Spark,New York Excelsior,New York Excelsior,New York Excelsior,1,0
7/4/2020 12:40,34756,Volskaya Industries,Hangzhou Spark,New York Excelsior,New York Excelsior,New York Excelsior,4,3
7/4/2020 19:09,34747,Oasis,Paris Eternal,Vancouver Titans,Paris Eternal,Vancouver Titans,2,0
7/4/2020 19:37,34747,King's Row,Vancouver Titans,Paris Eternal,Paris Eternal,Paris Eternal,3,1
7/4/2020 20:09,34747,Volskaya Industries,Paris Eternal,Vancouver Titans,Paris Eternal,Paris Eternal,2,1
