start_time,esports_match_id,map_name,team_one_name,team_two_name,match_winner,map_winner,winning_team_final_map_score,losing_team_final_map_score
7/12/2018 0:19,13121,Dorado,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,1
7/12/2018 0:41,13121,Oasis,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Boston Uprising,2,1
7/12/2018 1:12,13121,Eichenwalde,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,5,4
7/12/2018 1:45,13121,Volskaya Industries,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,0
7/12/2018 2:29,13124,Junkertown,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,3,2
7/12/2018 2:53,13124,Lijiang Tower,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,2,1
7/12/2018 3:26,13124,King's Row,Los Angeles Gladiators,London Spitfire,Los Angeles Gladiators,Los Angeles Gladiators,2,1
7/14/2018 0:12,13122,Junkertown,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,5,4
7/14/2018 0:44,13122,Lijiang Tower,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,2,0
7/14/2018 1:09,13122,King's Row,Boston Uprising,Philadelphia Fusion,Boston Uprising,Philadelphia Fusion,3,2
7/14/2018 1:30,13122,Hanamura,Boston Uprising,Philadelphia Fusion,Boston Uprising,Boston Uprising,3,2
7/14/2018 2:09,13123,Junkertown,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Boston Uprising,3,2
7/14/2018 2:35,13123,Lijiang Tower,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,0
7/14/2018 3:01,13123,Eichenwalde,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,1
7/14/2018 3:23,13123,Hanamura,Boston Uprising,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
7/14/2018 20:16,13125,Dorado,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,1
7/14/2018 20:42,13125,Oasis,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,0
7/14/2018 21:13,13125,Eichenwalde,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,3,0
7/14/2018 21:48,13126,Junkertown,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,3,2
7/14/2018 22:12,13126,Lijiang Tower,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,2,0
7/14/2018 22:41,13126,King's Row,Los Angeles Gladiators,London Spitfire,London Spitfire,London Spitfire,5,4
7/19/2018 0:14,13130,Dorado,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
7/19/2018 0:43,13130,Oasis,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
7/19/2018 1:17,13130,Eichenwalde,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,1
7/19/2018 2:05,13127,Junkertown,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,3,1
7/19/2018 2:28,13127,Lijiang Tower,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,2,1
7/19/2018 3:07,13127,King's Row,Los Angeles Valiant,London Spitfire,London Spitfire,Los Angeles Valiant,1,0
7/19/2018 3:23,13127,Hanamura,Los Angeles Valiant,London Spitfire,London Spitfire,draw,1,1
7/19/2018 3:48,13127,Dorado,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,3,2
7/20/2018 23:15,13128,Dorado,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,3,2
7/20/2018 23:43,13128,Oasis,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,2,0
7/21/2018 0:12,13128,Eichenwalde,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,5,4
7/21/2018 23:13,13131,Junkertown,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
7/21/2018 23:38,13131,Lijiang Tower,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,New York Excelsior,2,1
7/22/2018 0:16,13131,King's Row,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,0
7/22/2018 0:34,13131,Hanamura,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,New York Excelsior,2,1
7/22/2018 0:56,13131,Dorado,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
7/27/2018 23:25,13133,Dorado,London Spitfire,Philadelphia Fusion,London Spitfire,Philadelphia Fusion,3,2
7/27/2018 23:52,13133,Oasis,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,2,0
7/28/2018 0:26,13133,Eichenwalde,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,2,1
7/28/2018 0:48,13133,Volskaya Industries,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,2,1
7/28/2018 20:25,13134,Junkertown,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,3,2
7/28/2018 20:48,13134,Lijiang Tower,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,2,0
7/28/2018 21:18,13134,King's Row,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,4,3
1/11/2018 0:12,10223,Dorado,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,3,2
1/11/2018 0:34,10223,Temple of Anubis,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,4,3
1/11/2018 1:11,10223,Ilios,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,2,1
1/11/2018 1:32,10223,Numbani,Los Angeles Valiant,San Francisco Shock,Los Angeles Valiant,Los Angeles Valiant,2,1
1/11/2018 2:08,10224,Dorado,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,1,0
1/11/2018 2:25,10224,Temple of Anubis,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,2,1
1/11/2018 2:52,10224,Ilios,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
1/11/2018 3:11,10224,Eichenwalde,Los Angeles Gladiators,Shanghai Dragons,Los Angeles Gladiators,Los Angeles Gladiators,1,0
1/11/2018 3:46,10225,Junkertown,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Dallas Fuel,3,2
1/11/2018 4:12,10225,Temple of Anubis,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,6,5
1/11/2018 4:56,10225,Ilios,Dallas Fuel,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,0
1/11/2018 5:12,10225,Numbani,Seoul Dynasty,Dallas Fuel,Seoul Dynasty,draw,3,3
1/11/2018 22:10,10226,Dorado,Florida Mayhem,London Spitfire,London Spitfire,Florida Mayhem,2,1
1/11/2018 22:29,10226,Temple of Anubis,Florida Mayhem,London Spitfire,London Spitfire,London Spitfire,2,1
1/11/2018 22:58,10226,Oasis,London Spitfire,Florida Mayhem,London Spitfire,London Spitfire,2,0
1/11/2018 23:18,10226,Numbani,Florida Mayhem,London Spitfire,London Spitfire,London Spitfire,3,0
1/11/2018 23:53,10227,Dorado,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
1/12/2018 0:19,10227,Horizon Lunar Colony,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,Houston Outlaws,2,1
1/12/2018 0:46,10227,Oasis,Philadelphia Fusion,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,2,0
1/12/2018 0:59,10227,Eichenwalde,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,Houston Outlaws,4,3
1/12/2018 1:25,10227,Lijiang Tower,Philadelphia Fusion,Houston Outlaws,Philadelphia Fusion,Philadelphia Fusion,2,0
1/12/2018 1:59,10228,Junkertown,New York Excelsior,Boston Uprising,New York Excelsior,New York Excelsior,3,2
1/12/2018 2:21,10228,Horizon Lunar Colony,New York Excelsior,Boston Uprising,New York Excelsior,Boston Uprising,4,3
1/12/2018 2:58,10228,Ilios,Boston Uprising,New York Excelsior,New York Excelsior,New York Excelsior,2,0
1/12/2018 3:13,10228,Numbani,New York Excelsior,Boston Uprising,New York Excelsior,New York Excelsior,2,1
1/13/2018 0:10,10229,Junkertown,Dallas Fuel,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,8,7
1/13/2018 0:52,10229,Horizon Lunar Colony,Dallas Fuel,Los Angeles Valiant,Los Angeles Valiant,draw,5,5
1/13/2018 1:40,10229,Ilios,Los Angeles Valiant,Dallas Fuel,Los Angeles Valiant,Los Angeles Valiant,2,0
1/13/2018 1:56,10229,Numbani,Dallas Fuel,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,3,0
1/13/2018 2:29,10230,Dorado,Boston Uprising,Florida Mayhem,Boston Uprising,Boston Uprising,3,2
1/13/2018 2:51,10230,Temple of Anubis,Boston Uprising,Florida Mayhem,Boston Uprising,Boston Uprising,3,2
1/13/2018 3:27,10230,Oasis,Florida Mayhem,Boston Uprising,Boston Uprising,Boston Uprising,2,0
1/13/2018 3:41,10230,Eichenwalde,Boston Uprising,Florida Mayhem,Boston Uprising,Boston Uprising,2,1
1/13/2018 4:20,10231,Junkertown,Shanghai Dragons,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,1
1/13/2018 4:46,10231,Horizon Lunar Colony,Shanghai Dragons,San Francisco Shock,San Francisco Shock,Shanghai Dragons,1,0
1/13/2018 5:10,10231,Ilios,San Francisco Shock,Shanghai Dragons,San Francisco Shock,San Francisco Shock,2,0
1/13/2018 5:26,10231,Numbani,Shanghai Dragons,San Francisco Shock,San Francisco Shock,San Francisco Shock,3,2
1/13/2018 19:11,10232,Junkertown,Philadelphia Fusion,London Spitfire,London Spitfire,London Spitfire,3,2
1/13/2018 19:37,10232,Horizon Lunar Colony,Philadelphia Fusion,London Spitfire,London Spitfire,London Spitfire,2,0
1/13/2018 20:12,10232,Ilios,London Spitfire,Philadelphia Fusion,London Spitfire,London Spitfire,2,0
1/13/2018 20:27,10232,Numbani,Philadelphia Fusion,London Spitfire,London Spitfire,London Spitfire,3,0
1/13/2018 21:04,10233,Junkertown,Houston Outlaws,New York Excelsior,New York Excelsior,Houston Outlaws,3,2
1/13/2018 21:27,10233,Temple of Anubis,Houston Outlaws,New York Excelsior,New York Excelsior,New York Excelsior,2,1
1/13/2018 22:02,10233,Ilios,New York Excelsior,Houston Outlaws,New York Excelsior,New York Excelsior,2,0
1/13/2018 22:18,10233,Numbani,Houston Outlaws,New York Excelsior,New York Excelsior,New York Excelsior,3,1
1/13/2018 22:58,10234,Junkertown,Los Angeles Gladiators,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,4,3
1/13/2018 23:29,10234,Horizon Lunar Colony,Los Angeles Gladiators,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,3,2
1/14/2018 0:05,10234,Ilios,Seoul Dynasty,Los Angeles Gladiators,Seoul Dynasty,Seoul Dynasty,2,0
1/14/2018 0:22,10234,Numbani,Los Angeles Gladiators,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,3,0
1/18/2018 0:09,10235,Dorado,Philadelphia Fusion,San Francisco Shock,Philadelphia Fusion,San Francisco Shock,1,0
1/18/2018 0:31,10235,Temple of Anubis,Philadelphia Fusion,San Francisco Shock,Philadelphia Fusion,Philadelphia Fusion,2,1
1/18/2018 1:04,10235,Oasis,San Francisco Shock,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
1/18/2018 1:24,10235,Eichenwalde,Philadelphia Fusion,San Francisco Shock,Philadelphia Fusion,draw,3,3
1/18/2018 2:10,10236,Dorado,Seoul Dynasty,Florida Mayhem,Seoul Dynasty,Seoul Dynasty,2,1
1/18/2018 2:33,10236,Horizon Lunar Colony,Seoul Dynasty,Florida Mayhem,Seoul Dynasty,Seoul Dynasty,2,1
1/18/2018 3:05,10236,Oasis,Florida Mayhem,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,0
1/18/2018 3:23,10236,Eichenwalde,Seoul Dynasty,Florida Mayhem,Seoul Dynasty,Seoul Dynasty,3,2
1/18/2018 4:08,10237,Junkertown,Shanghai Dragons,Houston Outlaws,Houston Outlaws,Houston Outlaws,3,0
1/18/2018 4:26,10237,Horizon Lunar Colony,Shanghai Dragons,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,1
1/18/2018 4:55,10237,Oasis,Houston Outlaws,Shanghai Dragons,Houston Outlaws,Houston Outlaws,2,0
1/18/2018 5:12,10237,Numbani,Shanghai Dragons,Houston Outlaws,Houston Outlaws,Houston Outlaws,3,1
1/18/2018 22:09,10238,Junkertown,Houston Outlaws,Dallas Fuel,Houston Outlaws,Houston Outlaws,1,0
1/18/2018 22:25,10238,Horizon Lunar Colony,Houston Outlaws,Dallas Fuel,Houston Outlaws,Houston Outlaws,2,1
1/18/2018 22:54,10238,Oasis,Dallas Fuel,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,0
1/18/2018 23:10,10238,Eichenwalde,Houston Outlaws,Dallas Fuel,Houston Outlaws,Houston Outlaws,2,1
1/19/2018 0:03,10239,Junkertown,Los Angeles Valiant,New York Excelsior,New York Excelsior,New York Excelsior,3,1
1/19/2018 0:30,10239,Horizon Lunar Colony,Los Angeles Valiant,New York Excelsior,New York Excelsior,New York Excelsior,1,0
1/19/2018 1:05,10239,Oasis,New York Excelsior,Los Angeles Valiant,New York Excelsior,New York Excelsior,2,1
1/19/2018 1:28,10239,Numbani,Los Angeles Valiant,New York Excelsior,New York Excelsior,draw,3,3
1/19/2018 2:11,10240,Junkertown,Los Angeles Gladiators,Philadelphia Fusion,Los Angeles Gladiators,Philadelphia Fusion,2,1
1/19/2018 2:37,10240,Temple of Anubis,Los Angeles Gladiators,Philadelphia Fusion,Los Angeles Gladiators,Philadelphia Fusion,3,2
1/19/2018 3:13,10240,Ilios,Philadelphia Fusion,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,1
1/19/2018 3:35,10240,Numbani,Los Angeles Gladiators,Philadelphia Fusion,Los Angeles Gladiators,Los Angeles Gladiators,3,2
1/19/2018 3:56,10240,Lijiang Tower,Philadelphia Fusion,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,0
1/20/2018 0:08,10241,Junkertown,Boston Uprising,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,3,2
1/20/2018 0:35,10241,Horizon Lunar Colony,Boston Uprising,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,1
1/20/2018 1:07,10241,Oasis,Seoul Dynasty,Boston Uprising,Seoul Dynasty,Seoul Dynasty,2,0
1/20/2018 1:23,10241,Numbani,Boston Uprising,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,3,2
1/20/2018 2:06,10242,Dorado,Florida Mayhem,Shanghai Dragons,Florida Mayhem,Florida Mayhem,2,1
1/20/2018 2:26,10242,Temple of Anubis,Florida Mayhem,Shanghai Dragons,Florida Mayhem,Florida Mayhem,2,1
1/20/2018 2:56,10242,Ilios,Shanghai Dragons,Florida Mayhem,Florida Mayhem,Florida Mayhem,2,0
1/20/2018 3:12,10242,Numbani,Florida Mayhem,Shanghai Dragons,Florida Mayhem,Florida Mayhem,3,2
1/20/2018 4:00,10243,Junkertown,Dallas Fuel,London Spitfire,London Spitfire,London Spitfire,3,2
1/20/2018 4:27,10243,Horizon Lunar Colony,Dallas Fuel,London Spitfire,London Spitfire,London Spitfire,2,0
1/20/2018 4:57,10243,Oasis,London Spitfire,Dallas Fuel,London Spitfire,Dallas Fuel,2,0
1/20/2018 5:17,10243,Numbani,Dallas Fuel,London Spitfire,London Spitfire,London Spitfire,4,3
1/20/2018 19:10,10244,Dorado,London Spitfire,Los Angeles Valiant,London Spitfire,London Spitfire,2,1
1/20/2018 19:31,10244,Horizon Lunar Colony,London Spitfire,Los Angeles Valiant,London Spitfire,London Spitfire,3,2
1/20/2018 20:12,10244,Oasis,Los Angeles Valiant,London Spitfire,London Spitfire,Los Angeles Valiant,2,0
1/20/2018 20:30,10244,Eichenwalde,London Spitfire,Los Angeles Valiant,London Spitfire,Los Angeles Valiant,3,1
1/20/2018 20:54,10244,Lijiang Tower,Los Angeles Valiant,London Spitfire,London Spitfire,London Spitfire,2,0
1/20/2018 21:29,10245,Dorado,New York Excelsior,Los Angeles Gladiators,New York Excelsior,New York Excelsior,1,0
1/20/2018 21:44,10245,Horizon Lunar Colony,New York Excelsior,Los Angeles Gladiators,New York Excelsior,New York Excelsior,2,1
1/20/2018 22:17,10245,Oasis,Los Angeles Gladiators,New York Excelsior,New York Excelsior,New York Excelsior,2,0
1/20/2018 22:36,10245,Eichenwalde,New York Excelsior,Los Angeles Gladiators,New York Excelsior,New York Excelsior,2,1
1/20/2018 23:20,10246,Dorado,San Francisco Shock,Boston Uprising,San Francisco Shock,San Francisco Shock,3,2
1/20/2018 23:45,10246,Horizon Lunar Colony,San Francisco Shock,Boston Uprising,San Francisco Shock,Boston Uprising,2,0
1/21/2018 0:11,10246,Oasis,Boston Uprising,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,0
1/21/2018 0:29,10246,Eichenwalde,San Francisco Shock,Boston Uprising,San Francisco Shock,Boston Uprising,3,1
1/21/2018 0:50,10246,Lijiang Tower,Boston Uprising,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,1
1/25/2018 0:10,10247,Eichenwalde,London Spitfire,San Francisco Shock,London Spitfire,London Spitfire,1,0
1/25/2018 0:27,10247,Horizon Lunar Colony,London Spitfire,San Francisco Shock,London Spitfire,London Spitfire,1,0
1/25/2018 0:54,10247,Oasis,San Francisco Shock,London Spitfire,London Spitfire,San Francisco Shock,2,1
1/25/2018 1:20,10247,Junkertown,London Spitfire,San Francisco Shock,London Spitfire,London Spitfire,2,1
1/25/2018 2:10,10248,Numbani,Seoul Dynasty,Shanghai Dragons,Seoul Dynasty,Seoul Dynasty,3,2
1/25/2018 2:37,10248,Temple of Anubis,Seoul Dynasty,Shanghai Dragons,Seoul Dynasty,Seoul Dynasty,2,1
1/25/2018 3:10,10248,Oasis,Shanghai Dragons,Seoul Dynasty,Seoul Dynasty,Seoul Dynasty,2,1
1/25/2018 3:29,10248,Dorado,Seoul Dynasty,Shanghai Dragons,Seoul Dynasty,Shanghai Dragons,2,1
1/25/2018 4:14,10249,Eichenwalde,Los Angeles Valiant,Los Angeles Gladiators,Los Angeles Valiant,Los Angeles Gladiators,3,1
1/25/2018 4:41,10249,Horizon Lunar Colony,Los Angeles Valiant,Los Angeles Gladiators,Los Angeles Valiant,Los Angeles Gladiators,2,0
1/25/2018 5:14,10249,Ilios,Los Angeles Gladiators,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,2,1
1/25/2018 5:37,10249,Junkertown,Los Angeles Valiant,Los Angeles Gladiators,Los Angeles Valiant,Los Angeles Valiant,4,3
1/25/2018 6:08,10249,Lijiang Tower,Los Angeles Gladiators,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,2,1
1/25/2018 22:11,10250,Numbani,London Spitfire,Boston Uprising,Boston Uprising,London Spitfire,5,4
1/25/2018 22:43,10250,Temple of Anubis,London Spitfire,Boston Uprising,Boston Uprising,Boston Uprising,3,2
1/25/2018 23:19,10250,Ilios,Boston Uprising,London Spitfire,Boston Uprising,Boston Uprising,2,1
1/25/2018 23:46,10250,Junkertown,London Spitfire,Boston Uprising,Boston Uprising,London Spitfire,3,2
1/26/2018 0:11,10250,Lijiang Tower,Boston Uprising,London Spitfire,Boston Uprising,Boston Uprising,2,0
1/26/2018 0:45,10251,Numbani,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,New York Excelsior,2,1
1/26/2018 1:07,10251,Temple of Anubis,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
1/26/2018 1:41,10251,Ilios,Philadelphia Fusion,New York Excelsior,Philadelphia Fusion,New York Excelsior,2,1
1/26/2018 2:02,10251,Dorado,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,1
1/26/2018 2:23,10251,Lijiang Tower,Philadelphia Fusion,New York Excelsior,Philadelphia Fusion,Philadelphia Fusion,2,0
1/26/2018 2:58,10252,Numbani,Florida Mayhem,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,1
1/26/2018 3:22,10252,Horizon Lunar Colony,Florida Mayhem,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,0
1/26/2018 3:47,10252,Ilios,Houston Outlaws,Florida Mayhem,Houston Outlaws,Houston Outlaws,2,0
1/26/2018 4:05,10252,Junkertown,Florida Mayhem,Houston Outlaws,Houston Outlaws,Houston Outlaws,3,0
1/27/2018 0:11,10253,Eichenwalde,New York Excelsior,Seoul Dynasty,New York Excelsior,New York Excelsior,2,1
1/27/2018 0:32,10253,Horizon Lunar Colony,New York Excelsior,Seoul Dynasty,New York Excelsior,Seoul Dynasty,5,4
1/27/2018 1:19,10253,Oasis,Seoul Dynasty,New York Excelsior,New York Excelsior,New York Excelsior,2,1
1/27/2018 1:41,10253,Junkertown,New York Excelsior,Seoul Dynasty,New York Excelsior,Seoul Dynasty,1,0
1/27/2018 2:02,10253,Lijiang Tower,Seoul Dynasty,New York Excelsior,New York Excelsior,New York Excelsior,2,0
1/27/2018 2:37,10254,Eichenwalde,Philadelphia Fusion,Shanghai Dragons,Philadelphia Fusion,Philadelphia Fusion,1,0
1/27/2018 2:52,10254,Horizon Lunar Colony,Philadelphia Fusion,Shanghai Dragons,Philadelphia Fusion,Philadelphia Fusion,3,2
1/27/2018 3:24,10254,Oasis,Shanghai Dragons,Philadelphia Fusion,Philadelphia Fusion,Shanghai Dragons,2,1
1/27/2018 3:49,10254,Junkertown,Philadelphia Fusion,Shanghai Dragons,Philadelphia Fusion,Shanghai Dragons,3,2
1/27/2018 4:17,10254,Lijiang Tower,Shanghai Dragons,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,2,0
1/27/2018 4:51,10255,Eichenwalde,San Francisco Shock,Dallas Fuel,Dallas Fuel,draw,3,3
1/27/2018 5:19,10255,Horizon Lunar Colony,San Francisco Shock,Dallas Fuel,Dallas Fuel,Dallas Fuel,3,2
1/27/2018 5:57,10255,Ilios,Dallas Fuel,San Francisco Shock,Dallas Fuel,Dallas Fuel,2,0
1/27/2018 6:17,10255,Junkertown,San Francisco Shock,Dallas Fuel,Dallas Fuel,Dallas Fuel,3,1
1/27/2018 19:11,10256,Numbani,Boston Uprising,Dallas Fuel,Boston Uprising,Dallas Fuel,6,4
1/27/2018 19:44,10256,Temple of Anubis,Boston Uprising,Dallas Fuel,Boston Uprising,Boston Uprising,3,2
1/27/2018 20:18,10256,Ilios,Dallas Fuel,Boston Uprising,Boston Uprising,Boston Uprising,2,1
1/27/2018 20:40,10256,Dorado,Boston Uprising,Dallas Fuel,Boston Uprising,Dallas Fuel,3,0
1/27/2018 21:01,10256,Lijiang Tower,Dallas Fuel,Boston Uprising,Boston Uprising,Boston Uprising,2,0
1/27/2018 21:33,10257,Eichenwalde,Florida Mayhem,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,3,2
1/27/2018 21:55,10257,Temple of Anubis,Florida Mayhem,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,2,0
1/27/2018 22:23,10257,Ilios,Los Angeles Valiant,Florida Mayhem,Los Angeles Valiant,Los Angeles Valiant,2,0
1/27/2018 22:39,10257,Dorado,Florida Mayhem,Los Angeles Valiant,Los Angeles Valiant,Florida Mayhem,3,2
1/27/2018 23:24,10258,Numbani,Houston Outlaws,Los Angeles Gladiators,Houston Outlaws,Houston Outlaws,4,3
1/27/2018 23:50,10258,Temple of Anubis,Houston Outlaws,Los Angeles Gladiators,Houston Outlaws,Houston Outlaws,1,0
1/28/2018 0:13,10258,Ilios,Los Angeles Gladiators,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,0
1/28/2018 0:30,10258,Dorado,Houston Outlaws,Los Angeles Gladiators,Houston Outlaws,Houston Outlaws,1,0
2/1/2018 0:13,10259,Numbani,Philadelphia Fusion,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,3,2
2/1/2018 0:41,10259,Temple of Anubis,Philadelphia Fusion,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,5,4
2/1/2018 1:26,10259,Oasis,Los Angeles Valiant,Philadelphia Fusion,Los Angeles Valiant,Los Angeles Valiant,2,0
2/1/2018 1:43,10259,Dorado,Philadelphia Fusion,Los Angeles Valiant,Los Angeles Valiant,Los Angeles Valiant,3,2
2/1/2018 2:27,10260,Eichenwalde,Los Angeles Gladiators,Florida Mayhem,Los Angeles Gladiators,Los Angeles Gladiators,2,1
2/1/2018 2:51,10260,Horizon Lunar Colony,Los Angeles Gladiators,Florida Mayhem,Los Angeles Gladiators,Los Angeles Gladiators,1,0
2/1/2018 3:16,10260,Oasis,Florida Mayhem,Los Angeles Gladiators,Los Angeles Gladiators,Los Angeles Gladiators,2,1
2/1/2018 3:37,10260,Junkertown,Los Angeles Gladiators,Florida Mayhem,Los Angeles Gladiators,Florida Mayhem,3,2
2/1/2018 4:22,10261,Numbani,San Francisco Shock,Houston Outlaws,Houston Outlaws,Houston Outlaws,3,2
2/1/2018 4:49,10261,Temple of Anubis,San Francisco Shock,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,1
2/1/2018 5:21,10261,Oasis,Houston Outlaws,San Francisco Shock,Houston Outlaws,San Francisco Shock,2,1
2/1/2018 5:43,10261,Dorado,San Francisco Shock,Houston Outlaws,Houston Outlaws,Houston Outlaws,2,0
2/1/2018 22:10,10262,Eichenwalde,Dallas Fuel,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,1,0
2/1/2018 22:31,10262,Temple of Anubis,Dallas Fuel,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
2/1/2018 23:08,10262,Ilios,Philadelphia Fusion,Dallas Fuel,Philadelphia Fusion,Philadelphia Fusion,2,0
2/1/2018 23:29,10262,Dorado,Dallas Fuel,Philadelphia Fusion,Philadelphia Fusion,Philadelphia Fusion,3,2
2/2/2018 0:16,10263,Eichenwalde,Shanghai Dragons,New York Excelsior,New York Excelsior,New York Excelsior,3,1
2/2/2018 0:40,10263,Temple of Anubis,Shanghai Dragons,New York Excelsior,New York Excelsior,New York Excelsior,2,1
2/2/2018 1:12,10263,Oasis,New York Excelsior,Shanghai Dragons,New York Excelsior,New York Excelsior,2,1
2/2/2018 1:33,10263,Dorado,Shanghai Dragons,New York Excelsior,New York Excelsior,New York Excelsior,3,0
2/2/2018 2:15,10264,Numbani,Seoul Dynasty,London Spitfire,London Spitfire,London Spitfire,2,0
2/2/2018 2:37,10264,Temple of Anubis,Seoul Dynasty,London Spitfire,London Spitfire,London Spitfire,2,0
2/2/2018 3:09,10264,Ilios,London Spitfire,Seoul Dynasty,London Spitfire,London Spitfire,2,0
2/2/2018 3:28,10264,Dorado,Seoul Dynasty,London Spitfire,London Spitfire,London Spitfire,3,2
2/3/2018 0:10,10265,Numbani,Florida Mayhem,San Francisco Shock,San Francisco Shock,San Francisco Shock,4,3
2/3/2018 0:37,10265,Temple of Anubis,Florida Mayhem,San Francisco Shock,San Francisco Shock,San Francisco Shock,2,1
