,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-15 21:20:42+00:00,2020-08-15 21:22:02+00:00,34771,Oasis,1,1,Vancouver Titans,80,621.0,7.7625
1,2020-08-15 21:22:30+00:00,2020-08-15 21:22:58+00:00,34771,Oasis,1,2,Dallas Fuel,28,-1098.0,-39.214285714285715
2,2020-08-15 21:23:08+00:00,2020-08-15 21:23:48+00:00,34771,Oasis,1,3,Dallas Fuel,40,-485.0,-12.125
3,2020-08-15 21:27:00+00:00,2020-08-15 21:27:14+00:00,34771,Oasis,1,4,Vancouver Titans,14,264.0,18.857142857142858
4,2020-08-15 21:27:20+00:00,2020-08-15 21:27:54+00:00,34771,Oasis,1,5,Vancouver Titans,34,684.0,20.11764705882353
5,2020-08-15 21:28:50+00:00,2020-08-15 21:29:16+00:00,34771,Oasis,1,6,Dallas Fuel,26,-520.0,-20.0
6,2020-08-15 21:29:32+00:00,2020-08-15 21:30:10+00:00,34771,Oasis,1,7,Vancouver Titans,38,668.0,17.57894736842105
7,2020-08-15 21:30:34+00:00,2020-08-15 21:31:14+00:00,34771,Oasis,1,8,Dallas Fuel,40,-927.0,-23.175
8,2020-08-15 21:31:34+00:00,2020-08-15 21:32:14+00:00,34771,Oasis,1,9,Vancouver Titans,40,1312.0,32.8
9,2020-08-15 21:32:32+00:00,2020-08-15 21:32:52+00:00,34771,Oasis,1,10,Vancouver Titans,20,548.0,27.4
10,2020-08-15 21:33:06+00:00,2020-08-15 21:33:54+00:00,34771,Oasis,1,11,Dallas Fuel,48,-772.0,-16.083333333333332
11,2020-08-15 21:34:58+00:00,2020-08-15 21:35:36+00:00,34771,Oasis,1,12,Dallas Fuel,38,-939.0,-24.710526315789473
12,2020-08-15 21:35:54+00:00,2020-08-15 21:36:20+00:00,34771,Oasis,1,13,Dallas Fuel,26,-807.0,-31.03846153846154
13,2020-08-15 21:36:46+00:00,2020-08-15 21:37:36+00:00,34771,Oasis,1,14,Dallas Fuel,50,-1413.0,-28.26
14,2020-08-15 21:44:46+00:00,2020-08-15 21:45:28+00:00,34771,Eichenwalde,2,1,Vancouver Titans,42,561.0,13.357142857142858
15,2020-08-15 21:45:54+00:00,2020-08-15 21:46:36+00:00,34771,Eichenwalde,2,2,Vancouver Titans,42,895.0,21.30952380952381
16,2020-08-15 21:46:52+00:00,2020-08-15 21:47:28+00:00,34771,Eichenwalde,2,3,Dallas Fuel,36,-878.0,-24.38888888888889
17,2020-08-15 21:47:50+00:00,2020-08-15 21:48:20+00:00,34771,Eichenwalde,2,4,Dallas Fuel,30,-509.0,-16.966666666666665
18,2020-08-15 21:48:34+00:00,2020-08-15 21:48:56+00:00,34771,Eichenwalde,2,5,Dallas Fuel,22,-593.0,-26.954545454545453
19,2020-08-15 21:49:18+00:00,2020-08-15 21:50:10+00:00,34771,Eichenwalde,2,6,Dallas Fuel,52,-2147.0,-41.28846153846154
20,2020-08-15 21:52:08+00:00,2020-08-15 21:52:48+00:00,34771,Eichenwalde,2,7,Vancouver Titans,40,544.0,13.6
21,2020-08-15 21:53:08+00:00,2020-08-15 21:53:58+00:00,34771,Eichenwalde,2,8,Dallas Fuel,50,-235.0,-4.7
22,2020-08-15 21:54:06+00:00,2020-08-15 21:54:32+00:00,34771,Eichenwalde,2,9,Vancouver Titans,26,916.0,35.23076923076923
23,2020-08-15 21:54:44+00:00,2020-08-15 21:55:14+00:00,34771,Eichenwalde,2,10,Dallas Fuel,30,-242.0,-8.066666666666666
24,2020-08-15 21:55:38+00:00,2020-08-15 21:56:14+00:00,34771,Eichenwalde,2,11,Vancouver Titans,36,216.0,6.0
25,2020-08-15 21:56:26+00:00,2020-08-15 21:57:14+00:00,34771,Eichenwalde,2,12,Dallas Fuel,48,-1271.0,-26.479166666666668
26,2020-08-15 21:57:24+00:00,2020-08-15 21:57:52+00:00,34771,Eichenwalde,2,13,Dallas Fuel,28,-803.0,-28.678571428571427
27,2020-08-15 21:58:02+00:00,2020-08-15 21:58:46+00:00,34771,Eichenwalde,2,14,Dallas Fuel,44,-1253.0,-28.477272727272727
28,2020-08-15 21:59:10+00:00,2020-08-15 21:59:34+00:00,34771,Eichenwalde,2,15,Dallas Fuel,24,-653.0,-27.208333333333332
29,2020-08-15 22:16:36+00:00,2020-08-15 22:17:02+00:00,34771,Volskaya Industries,3,1,Dallas Fuel,26,-912.0,-35.07692307692308
30,2020-08-15 22:17:24+00:00,2020-08-15 22:17:58+00:00,34771,Volskaya Industries,3,2,Dallas Fuel,34,-1497.0,-44.029411764705884
31,2020-08-15 22:19:40+00:00,2020-08-15 22:20:12+00:00,34771,Volskaya Industries,3,3,Dallas Fuel,32,-696.0,-21.75
32,2020-08-15 22:20:30+00:00,2020-08-15 22:21:38+00:00,34771,Volskaya Industries,3,4,Vancouver Titans,68,1123.0,16.514705882352942
33,2020-08-15 22:22:08+00:00,2020-08-15 22:22:36+00:00,34771,Volskaya Industries,3,5,Dallas Fuel,28,-1109.0,-39.607142857142854
34,2020-08-15 22:23:04+00:00,2020-08-15 22:23:32+00:00,34771,Volskaya Industries,3,6,Vancouver Titans,28,803.0,28.678571428571427
35,2020-08-15 22:25:14+00:00,2020-08-15 22:25:32+00:00,34771,Volskaya Industries,3,7,Dallas Fuel,18,-499.0,-27.72222222222222
36,2020-08-15 22:25:40+00:00,2020-08-15 22:26:40+00:00,34771,Volskaya Industries,3,8,Dallas Fuel,60,-787.0,-13.116666666666667
37,2020-08-15 22:26:56+00:00,2020-08-15 22:27:20+00:00,34771,Volskaya Industries,3,9,Vancouver Titans,24,1329.0,55.375
38,2020-08-15 22:27:48+00:00,2020-08-15 22:28:16+00:00,34771,Volskaya Industries,3,10,Dallas Fuel,28,-953.0,-34.035714285714285
39,2020-08-15 22:30:08+00:00,2020-08-15 22:30:52+00:00,34771,Volskaya Industries,3,11,Vancouver Titans,44,899.0,20.431818181818183
40,2020-08-15 22:31:12+00:00,2020-08-15 22:32:40+00:00,34771,Volskaya Industries,3,12,Dallas Fuel,88,-414.0,-4.704545454545454
41,2020-08-15 22:33:06+00:00,2020-08-15 22:33:24+00:00,34771,Volskaya Industries,3,13,Vancouver Titans,18,437.0,24.27777777777778
42,2020-08-15 22:34:06+00:00,2020-08-15 22:34:46+00:00,34771,Volskaya Industries,3,14,Dallas Fuel,40,-206.0,-5.15
