,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-07-25 21:45:00+00:00,2020-07-25 21:45:22+00:00,34809,Lijiang Tower,1,1,Dallas Fuel,22,-827.0,-37.59090909090909
1,2020-07-25 21:45:34+00:00,2020-07-25 21:45:54+00:00,34809,Lijiang Tower,1,2,Dallas Fuel,20,-700.0,-35.0
2,2020-07-25 21:46:00+00:00,2020-07-25 21:46:10+00:00,34809,Lijiang Tower,1,3,Dallas Fuel,10,-198.0,-19.8
3,2020-07-25 21:46:28+00:00,2020-07-25 21:46:46+00:00,34809,Lijiang Tower,1,4,Dallas Fuel,18,-601.0,-33.388888888888886
4,2020-07-25 21:46:56+00:00,2020-07-25 21:47:24+00:00,34809,Lijiang Tower,1,5,Dallas Fuel,28,-719.0,-25.678571428571427
5,2020-07-25 21:47:26+00:00,2020-07-25 21:47:36+00:00,34809,Lijiang Tower,1,6,Dallas Fuel,10,-211.0,-21.1
6,2020-07-25 21:48:14+00:00,2020-07-25 21:48:56+00:00,34809,Lijiang Tower,1,7,Dallas Fuel,42,-275.0,-6.5476190476190474
7,2020-07-25 21:49:00+00:00,2020-07-25 21:49:32+00:00,34809,Lijiang Tower,1,8,Boston Uprising,32,550.0,17.1875
8,2020-07-25 21:49:54+00:00,2020-07-25 21:50:18+00:00,34809,Lijiang Tower,1,9,Dallas Fuel,24,-975.0,-40.625
9,2020-07-25 21:50:24+00:00,2020-07-25 21:51:10+00:00,34809,Lijiang Tower,1,10,Dallas Fuel,46,-344.0,-7.478260869565218
10,2020-07-25 21:51:26+00:00,2020-07-25 21:52:20+00:00,34809,Lijiang Tower,1,11,Dallas Fuel,54,-931.0,-17.24074074074074
11,2020-07-25 21:59:24+00:00,2020-07-25 22:00:30+00:00,34809,Numbani,2,1,Boston Uprising,66,623.0,9.43939393939394
