,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-07-25 08:05:58+00:00,2020-07-25 08:06:50+00:00,34821,Lijiang Tower,1,1,Chengdu Hunters,52,-1187.0,-22.826923076923077
1,2020-07-25 08:07:10+00:00,2020-07-25 08:07:46+00:00,34821,Lijiang Tower,1,2,Seoul Dynasty,36,1036.0,28.77777777777778
2,2020-07-25 08:07:58+00:00,2020-07-25 08:08:40+00:00,34821,Lijiang Tower,1,3,Chengdu Hunters,42,-243.0,-5.785714285714286
3,2020-07-25 08:08:54+00:00,2020-07-25 08:09:36+00:00,34821,Lijiang Tower,1,4,Chengdu Hunters,42,-1340.0,-31.904761904761905
4,2020-07-25 08:10:36+00:00,2020-07-25 08:11:08+00:00,34821,Lijiang Tower,1,5,Seoul Dynasty,32,470.0,14.6875
5,2020-07-25 08:11:10+00:00,2020-07-25 08:11:20+00:00,34821,Lijiang Tower,1,6,Seoul Dynasty,10,369.0,36.9
6,2020-07-25 08:11:22+00:00,2020-07-25 08:11:52+00:00,34821,Lijiang Tower,1,7,Seoul Dynasty,30,774.0,25.8
7,2020-07-25 08:12:12+00:00,2020-07-25 08:12:36+00:00,34821,Lijiang Tower,1,8,Seoul Dynasty,24,288.0,12.0
8,2020-07-25 08:12:42+00:00,2020-07-25 08:13:46+00:00,34821,Lijiang Tower,1,9,Chengdu Hunters,64,-302.0,-4.71875
9,2020-07-25 08:13:52+00:00,2020-07-25 08:14:30+00:00,34821,Lijiang Tower,1,10,Chengdu Hunters,38,-419.0,-11.026315789473685
10,2020-07-25 08:14:44+00:00,2020-07-25 08:15:32+00:00,34821,Lijiang Tower,1,11,Chengdu Hunters,48,-383.0,-7.979166666666667
11,2020-07-25 08:23:54+00:00,2020-07-25 08:24:08+00:00,34821,Eichenwalde,2,1,Seoul Dynasty,14,647.0,46.214285714285715
12,2020-07-25 08:24:32+00:00,2020-07-25 08:24:58+00:00,34821,Eichenwalde,2,2,Seoul Dynasty,26,577.0,22.192307692307693
13,2020-07-25 08:25:06+00:00,2020-07-25 08:26:18+00:00,34821,Eichenwalde,2,3,Seoul Dynasty,72,768.0,10.666666666666666
