,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-02 20:40:06+00:00,2020-08-02 20:40:24+00:00,34779,Lijiang Tower,1,1,Florida Mayhem,18,-389.0,-21.61111111111111
1,2020-08-02 20:40:36+00:00,2020-08-02 20:40:48+00:00,34779,Lijiang Tower,1,2,Florida Mayhem,12,-242.0,-20.166666666666668
2,2020-08-02 20:40:52+00:00,2020-08-02 20:41:12+00:00,34779,Lijiang Tower,1,3,Florida Mayhem,20,-693.0,-34.65
3,2020-08-02 20:41:32+00:00,2020-08-02 20:42:08+00:00,34779,Lijiang Tower,1,4,Los Angeles Gladiators,36,1151.0,31.97222222222222
4,2020-08-02 20:42:34+00:00,2020-08-02 20:43:20+00:00,34779,Lijiang Tower,1,5,Los Angeles Gladiators,46,296.0,6.434782608695652
5,2020-08-02 20:43:46+00:00,2020-08-02 20:44:16+00:00,34779,Lijiang Tower,1,6,Los Angeles Gladiators,30,692.0,23.066666666666666
6,2020-08-02 20:45:06+00:00,2020-08-02 20:45:42+00:00,34779,Lijiang Tower,1,7,Florida Mayhem,36,-490.0,-13.61111111111111
7,2020-08-02 20:45:58+00:00,2020-08-02 20:46:32+00:00,34779,Lijiang Tower,1,8,Los Angeles Gladiators,34,1096.0,32.23529411764706
8,2020-08-02 20:46:56+00:00,2020-08-02 20:47:56+00:00,34779,Lijiang Tower,1,9,Florida Mayhem,60,-1520.0,-25.333333333333332
9,2020-08-02 20:48:24+00:00,2020-08-02 20:49:02+00:00,34779,Lijiang Tower,1,10,Florida Mayhem,38,-632.0,-16.63157894736842
10,2020-08-02 20:49:52+00:00,2020-08-02 20:50:50+00:00,34779,Lijiang Tower,1,11,Florida Mayhem,58,-824.0,-14.206896551724139
11,2020-08-02 20:51:04+00:00,2020-08-02 20:51:44+00:00,34779,Lijiang Tower,1,12,Los Angeles Gladiators,40,574.0,14.35
12,2020-08-02 20:52:06+00:00,2020-08-02 20:52:48+00:00,34779,Lijiang Tower,1,13,Los Angeles Gladiators,42,465.0,11.071428571428571
13,2020-08-02 20:53:08+00:00,2020-08-02 20:54:06+00:00,34779,Lijiang Tower,1,14,Los Angeles Gladiators,58,491.0,8.46551724137931
14,2020-08-02 20:54:22+00:00,2020-08-02 20:54:54+00:00,34779,Lijiang Tower,1,15,Los Angeles Gladiators,32,441.0,13.78125
15,2020-08-02 21:04:52+00:00,2020-08-02 21:05:16+00:00,34779,Havana,2,1,Florida Mayhem,24,-687.0,-28.625
16,2020-08-02 21:05:42+00:00,2020-08-02 21:05:58+00:00,34779,Havana,2,2,Florida Mayhem,16,-748.0,-46.75
17,2020-08-02 21:06:00+00:00,2020-08-02 21:06:10+00:00,34779,Havana,2,3,Los Angeles Gladiators,10,90.0,9.0
18,2020-08-02 21:06:16+00:00,2020-08-02 21:06:42+00:00,34779,Havana,2,4,Los Angeles Gladiators,26,1115.0,42.88461538461539
19,2020-08-02 21:06:58+00:00,2020-08-02 21:07:36+00:00,34779,Havana,2,5,Los Angeles Gladiators,38,431.0,11.342105263157896
20,2020-08-02 21:08:20+00:00,2020-08-02 21:08:40+00:00,34779,Havana,2,6,Florida Mayhem,20,-536.0,-26.8
21,2020-08-02 21:09:14+00:00,2020-08-02 21:09:52+00:00,34779,Havana,2,7,Florida Mayhem,38,-954.0,-25.105263157894736
22,2020-08-02 21:10:10+00:00,2020-08-02 21:10:46+00:00,34779,Havana,2,8,Florida Mayhem,36,-495.0,-13.75
23,2020-08-02 21:12:32+00:00,2020-08-02 21:13:28+00:00,34779,Havana,2,9,Florida Mayhem,56,-988.0,-17.642857142857142
24,2020-08-02 21:13:52+00:00,2020-08-02 21:14:22+00:00,34779,Havana,2,10,Los Angeles Gladiators,30,1125.0,37.5
25,2020-08-02 21:14:42+00:00,2020-08-02 21:15:26+00:00,34779,Havana,2,11,Los Angeles Gladiators,44,513.0,11.659090909090908
26,2020-08-02 21:15:34+00:00,2020-08-02 21:15:56+00:00,34779,Havana,2,12,Florida Mayhem,22,-436.0,-19.818181818181817
27,2020-08-02 21:34:06+00:00,2020-08-02 21:34:32+00:00,34779,Numbani,3,1,Los Angeles Gladiators,26,826.0,31.76923076923077
28,2020-08-02 21:35:02+00:00,2020-08-02 21:35:48+00:00,34779,Numbani,3,2,Florida Mayhem,46,-470.0,-10.217391304347826
29,2020-08-02 21:36:04+00:00,2020-08-02 21:36:46+00:00,34779,Numbani,3,3,Los Angeles Gladiators,42,989.0,23.547619047619047
