,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-14 21:09:20+00:00,2020-08-14 21:09:46+00:00,34775,Oasis,1,1,Dallas Fuel,26,-530.0,-20.384615384615383
1,2020-08-14 21:10:00+00:00,2020-08-14 21:11:08+00:00,34775,Oasis,1,2,Los Angeles Gladiators,68,884.0,13.0
2,2020-08-14 21:11:16+00:00,2020-08-14 21:11:48+00:00,34775,Oasis,1,3,Dallas Fuel,32,-1213.0,-37.90625
3,2020-08-14 21:11:56+00:00,2020-08-14 21:12:30+00:00,34775,Oasis,1,4,Los Angeles Gladiators,34,1078.0,31.705882352941178
4,2020-08-14 21:12:54+00:00,2020-08-14 21:13:22+00:00,34775,Oasis,1,5,Los Angeles Gladiators,28,70.0,2.5
5,2020-08-14 21:13:32+00:00,2020-08-14 21:15:18+00:00,34775,Oasis,1,6,Los Angeles Gladiators,106,1640.0,15.471698113207546
6,2020-08-14 21:17:54+00:00,2020-08-14 21:18:50+00:00,34775,Oasis,1,7,Los Angeles Gladiators,56,899.0,16.053571428571427
7,2020-08-14 21:19:06+00:00,2020-08-14 21:20:02+00:00,34775,Oasis,1,8,Dallas Fuel,56,-372.0,-6.642857142857143
8,2020-08-14 21:20:18+00:00,2020-08-14 21:21:10+00:00,34775,Oasis,1,9,Los Angeles Gladiators,52,962.0,18.5
9,2020-08-14 21:21:28+00:00,2020-08-14 21:22:10+00:00,34775,Oasis,1,10,Los Angeles Gladiators,42,1429.0,34.023809523809526
10,2020-08-14 21:29:44+00:00,2020-08-14 21:30:06+00:00,34775,Eichenwalde,2,1,Los Angeles Gladiators,22,1010.0,45.90909090909091
11,2020-08-14 21:30:24+00:00,2020-08-14 21:31:26+00:00,34775,Eichenwalde,2,2,Los Angeles Gladiators,62,1253.0,20.20967741935484
12,2020-08-14 21:31:54+00:00,2020-08-14 21:32:20+00:00,34775,Eichenwalde,2,3,Los Angeles Gladiators,26,1228.0,47.23076923076923
13,2020-08-14 21:32:38+00:00,2020-08-14 21:33:12+00:00,34775,Eichenwalde,2,4,Dallas Fuel,34,-717.0,-21.08823529411765
14,2020-08-14 21:33:36+00:00,2020-08-14 21:34:24+00:00,34775,Eichenwalde,2,5,Los Angeles Gladiators,48,1177.0,24.520833333333332
15,2020-08-14 21:34:50+00:00,2020-08-14 21:35:24+00:00,34775,Eichenwalde,2,6,Dallas Fuel,34,-668.0,-19.647058823529413
16,2020-08-14 21:35:40+00:00,2020-08-14 21:36:32+00:00,34775,Eichenwalde,2,7,Los Angeles Gladiators,52,379.0,7.288461538461538
17,2020-08-14 21:38:22+00:00,2020-08-14 21:38:52+00:00,34775,Eichenwalde,2,8,Dallas Fuel,30,-1115.0,-37.166666666666664
18,2020-08-14 21:39:10+00:00,2020-08-14 21:39:38+00:00,34775,Eichenwalde,2,9,Dallas Fuel,28,-692.0,-24.714285714285715
19,2020-08-14 21:40:02+00:00,2020-08-14 21:40:50+00:00,34775,Eichenwalde,2,10,Los Angeles Gladiators,48,631.0,13.145833333333334
20,2020-08-14 21:41:32+00:00,2020-08-14 21:42:24+00:00,34775,Eichenwalde,2,11,Dallas Fuel,52,-412.0,-7.923076923076923
21,2020-08-14 21:42:50+00:00,2020-08-14 21:43:28+00:00,34775,Eichenwalde,2,12,Dallas Fuel,38,-152.0,-4.0
22,2020-08-14 21:43:34+00:00,2020-08-14 21:43:44+00:00,34775,Eichenwalde,2,13,Dallas Fuel,10,-209.0,-20.9
23,2020-08-14 21:44:00+00:00,2020-08-14 21:44:24+00:00,34775,Eichenwalde,2,14,Los Angeles Gladiators,24,907.0,37.791666666666664
24,2020-08-14 22:02:40+00:00,2020-08-14 22:03:20+00:00,34775,Temple of Anubis,3,1,Los Angeles Gladiators,40,1097.0,27.425
25,2020-08-14 22:03:32+00:00,2020-08-14 22:04:08+00:00,34775,Temple of Anubis,3,2,Los Angeles Gladiators,36,913.0,25.36111111111111
26,2020-08-14 22:04:28+00:00,2020-08-14 22:05:22+00:00,34775,Temple of Anubis,3,3,Los Angeles Gladiators,54,455.0,8.425925925925926
27,2020-08-14 22:05:32+00:00,2020-08-14 22:06:10+00:00,34775,Temple of Anubis,3,4,Los Angeles Gladiators,38,920.0,24.210526315789473
28,2020-08-14 22:08:14+00:00,2020-08-14 22:09:02+00:00,34775,Temple of Anubis,3,5,Los Angeles Gladiators,48,585.0,12.1875
