,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-06-28 19:12:20+00:00,2020-06-28 19:13:34+00:00,34641,Nepal,1,1,Los Angeles Valiant,74,915.0,12.364864864864865
1,2020-06-28 19:13:52+00:00,2020-06-28 19:14:16+00:00,34641,Nepal,1,2,Los Angeles Valiant,24,985.0,41.041666666666664
2,2020-06-28 19:14:32+00:00,2020-06-28 19:15:04+00:00,34641,Nepal,1,3,Paris Eternal,32,-822.0,-25.6875
3,2020-06-28 19:15:24+00:00,2020-06-28 19:15:50+00:00,34641,Nepal,1,4,Los Angeles Valiant,26,1109.0,42.65384615384615
4,2020-06-28 19:16:10+00:00,2020-06-28 19:16:50+00:00,34641,Nepal,1,5,Los Angeles Valiant,40,1585.0,39.625
5,2020-06-28 19:17:42+00:00,2020-06-28 19:18:14+00:00,34641,Nepal,1,6,Paris Eternal,32,-1230.0,-38.4375
6,2020-06-28 19:18:30+00:00,2020-06-28 19:18:46+00:00,34641,Nepal,1,7,Paris Eternal,16,-275.0,-17.1875
7,2020-06-28 19:18:54+00:00,2020-06-28 19:19:22+00:00,34641,Nepal,1,8,Paris Eternal,28,-927.0,-33.107142857142854
8,2020-06-28 19:19:42+00:00,2020-06-28 19:20:10+00:00,34641,Nepal,1,9,Paris Eternal,28,-161.0,-5.75
9,2020-06-28 19:20:12+00:00,2020-06-28 19:20:22+00:00,34641,Nepal,1,10,Los Angeles Valiant,10,11.0,1.1
10,2020-06-28 19:21:02+00:00,2020-06-28 19:22:02+00:00,34641,Nepal,1,11,Los Angeles Valiant,60,1570.0,26.166666666666668
11,2020-06-28 19:22:26+00:00,2020-06-28 19:22:52+00:00,34641,Nepal,1,12,Los Angeles Valiant,26,1094.0,42.07692307692308
12,2020-06-28 19:23:12+00:00,2020-06-28 19:23:36+00:00,34641,Nepal,1,13,Paris Eternal,24,-1100.0,-45.833333333333336
13,2020-06-28 19:23:54+00:00,2020-06-28 19:24:32+00:00,34641,Nepal,1,14,Paris Eternal,38,-917.0,-24.13157894736842
14,2020-06-28 19:24:52+00:00,2020-06-28 19:25:12+00:00,34641,Nepal,1,15,Paris Eternal,20,-788.0,-39.4
15,2020-06-28 19:25:28+00:00,2020-06-28 19:26:02+00:00,34641,Nepal,1,16,Paris Eternal,34,-644.0,-18.941176470588236
16,2020-06-28 19:33:40+00:00,2020-06-28 19:34:12+00:00,34641,Hanamura,2,1,Paris Eternal,32,-629.0,-19.65625
17,2020-06-28 19:34:48+00:00,2020-06-28 19:35:34+00:00,34641,Hanamura,2,2,Paris Eternal,46,-2262.0,-49.17391304347826
18,2020-06-28 19:37:12+00:00,2020-06-28 19:37:56+00:00,34641,Hanamura,2,3,Los Angeles Valiant,44,522.0,11.863636363636363
19,2020-06-28 19:38:38+00:00,2020-06-28 19:39:02+00:00,34641,Hanamura,2,4,Paris Eternal,24,-497.0,-20.708333333333332
20,2020-06-28 19:39:34+00:00,2020-06-28 19:40:14+00:00,34641,Hanamura,2,5,Paris Eternal,40,-576.0,-14.4
21,2020-06-28 19:40:50+00:00,2020-06-28 19:41:32+00:00,34641,Hanamura,2,6,Paris Eternal,42,-1272.0,-30.285714285714285
22,2020-06-28 19:42:02+00:00,2020-06-28 19:42:42+00:00,34641,Hanamura,2,7,Paris Eternal,40,-630.0,-15.75
23,2020-06-28 19:43:22+00:00,2020-06-28 19:43:46+00:00,34641,Hanamura,2,8,Paris Eternal,24,-945.0,-39.375
24,2020-06-28 19:43:58+00:00,2020-06-28 19:44:16+00:00,34641,Hanamura,2,9,Paris Eternal,18,-604.0,-33.55555555555556
25,2020-06-28 20:02:16+00:00,2020-06-28 20:02:42+00:00,34641,Junkertown,3,1,Paris Eternal,26,-886.0,-34.07692307692308
26,2020-06-28 20:03:06+00:00,2020-06-28 20:03:42+00:00,34641,Junkertown,3,2,Los Angeles Valiant,36,142.0,3.9444444444444446
27,2020-06-28 20:04:02+00:00,2020-06-28 20:04:38+00:00,34641,Junkertown,3,3,Paris Eternal,36,-352.0,-9.777777777777779
