,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-09 19:05:22+00:00,2020-08-09 19:05:40+00:00,34907,Nepal,1,1,Philadelphia Fusion,18,550.0,30.555555555555557
1,2020-08-09 19:05:50+00:00,2020-08-09 19:07:04+00:00,34907,Nepal,1,2,Paris Eternal,74,-1075.0,-14.527027027027026
2,2020-08-09 19:07:26+00:00,2020-08-09 19:07:48+00:00,34907,Nepal,1,3,Paris Eternal,22,-621.0,-28.227272727272727
3,2020-08-09 19:08:10+00:00,2020-08-09 19:08:54+00:00,34907,Nepal,1,4,Paris Eternal,44,-800.0,-18.181818181818183
4,2020-08-09 19:09:54+00:00,2020-08-09 19:10:26+00:00,34907,Nepal,1,5,Paris Eternal,32,-209.0,-6.53125
5,2020-08-09 19:10:48+00:00,2020-08-09 19:11:16+00:00,34907,Nepal,1,6,Paris Eternal,28,-968.0,-34.57142857142857
6,2020-08-09 19:11:34+00:00,2020-08-09 19:11:58+00:00,34907,Nepal,1,7,Paris Eternal,24,-33.0,-1.375
7,2020-08-09 19:12:02+00:00,2020-08-09 19:12:12+00:00,34907,Nepal,1,8,Paris Eternal,10,-215.0,-21.5
8,2020-08-09 19:20:36+00:00,2020-08-09 19:20:58+00:00,34907,Numbani,2,1,Paris Eternal,22,-132.0,-6.0
9,2020-08-09 19:21:30+00:00,2020-08-09 19:21:50+00:00,34907,Numbani,2,2,Paris Eternal,20,-531.0,-26.55
10,2020-08-09 19:22:22+00:00,2020-08-09 19:22:52+00:00,34907,Numbani,2,3,Philadelphia Fusion,30,973.0,32.43333333333333
11,2020-08-09 19:23:28+00:00,2020-08-09 19:24:28+00:00,34907,Numbani,2,4,Philadelphia Fusion,60,40.0,0.6666666666666666
12,2020-08-09 19:24:36+00:00,2020-08-09 19:25:06+00:00,34907,Numbani,2,5,Philadelphia Fusion,30,200.0,6.666666666666667
13,2020-08-09 19:25:30+00:00,2020-08-09 19:25:58+00:00,34907,Numbani,2,6,Philadelphia Fusion,28,866.0,30.928571428571427
14,2020-08-09 19:26:18+00:00,2020-08-09 19:27:04+00:00,34907,Numbani,2,7,Philadelphia Fusion,46,627.0,13.630434782608695
15,2020-08-09 19:27:28+00:00,2020-08-09 19:28:06+00:00,34907,Numbani,2,8,Philadelphia Fusion,38,875.0,23.026315789473685
16,2020-08-09 19:29:48+00:00,2020-08-09 19:30:32+00:00,34907,Numbani,2,9,Philadelphia Fusion,44,517.0,11.75
17,2020-08-09 19:30:52+00:00,2020-08-09 19:31:10+00:00,34907,Numbani,2,10,Philadelphia Fusion,18,466.0,25.88888888888889
18,2020-08-09 19:31:34+00:00,2020-08-09 19:32:10+00:00,34907,Numbani,2,11,Philadelphia Fusion,36,1288.0,35.77777777777778
19,2020-08-09 19:32:14+00:00,2020-08-09 19:33:02+00:00,34907,Numbani,2,12,Philadelphia Fusion,48,1019.0,21.229166666666668
20,2020-08-09 19:50:20+00:00,2020-08-09 19:51:08+00:00,34907,Hanamura,3,1,Philadelphia Fusion,48,1053.0,21.9375
21,2020-08-09 19:51:36+00:00,2020-08-09 19:52:14+00:00,34907,Hanamura,3,2,Philadelphia Fusion,38,849.0,22.342105263157894
22,2020-08-09 19:52:30+00:00,2020-08-09 19:52:58+00:00,34907,Hanamura,3,3,Paris Eternal,28,-838.0,-29.928571428571427
23,2020-08-09 19:53:20+00:00,2020-08-09 19:54:14+00:00,34907,Hanamura,3,4,Philadelphia Fusion,54,890.0,16.48148148148148
24,2020-08-09 19:54:56+00:00,2020-08-09 19:55:28+00:00,34907,Hanamura,3,5,Philadelphia Fusion,32,1344.0,42.0
25,2020-08-09 19:55:52+00:00,2020-08-09 19:56:30+00:00,34907,Hanamura,3,6,Philadelphia Fusion,38,893.0,23.5
26,2020-08-09 19:56:48+00:00,2020-08-09 19:57:08+00:00,34907,Hanamura,3,7,Philadelphia Fusion,20,1026.0,51.3
27,2020-08-09 19:58:50+00:00,2020-08-09 19:59:38+00:00,34907,Hanamura,3,8,Paris Eternal,48,-220.0,-4.583333333333333
28,2020-08-09 19:59:42+00:00,2020-08-09 20:00:30+00:00,34907,Hanamura,3,9,Philadelphia Fusion,48,1092.0,22.75
29,2020-08-09 20:01:02+00:00,2020-08-09 20:01:38+00:00,34907,Hanamura,3,10,Philadelphia Fusion,36,193.0,5.361111111111111
30,2020-08-09 20:01:40+00:00,2020-08-09 20:02:04+00:00,34907,Hanamura,3,11,Paris Eternal,24,-938.0,-39.083333333333336
31,2020-08-09 20:02:18+00:00,2020-08-09 20:02:28+00:00,34907,Hanamura,3,12,Philadelphia Fusion,10,198.0,19.8
32,2020-08-09 20:02:36+00:00,2020-08-09 20:03:12+00:00,34907,Hanamura,3,13,Philadelphia Fusion,36,489.0,13.583333333333334
33,2020-08-09 20:11:26+00:00,2020-08-09 20:11:38+00:00,34907,Havana,4,1,Paris Eternal,12,-413.0,-34.416666666666664
34,2020-08-09 20:11:48+00:00,2020-08-09 20:12:22+00:00,34907,Havana,4,2,Philadelphia Fusion,34,778.0,22.88235294117647
35,2020-08-09 20:12:36+00:00,2020-08-09 20:12:58+00:00,34907,Havana,4,3,Philadelphia Fusion,22,1134.0,51.54545454545455
36,2020-08-09 20:13:26+00:00,2020-08-09 20:14:00+00:00,34907,Havana,4,4,Paris Eternal,34,-994.0,-29.235294117647058
37,2020-08-09 20:14:16+00:00,2020-08-09 20:14:36+00:00,34907,Havana,4,5,Philadelphia Fusion,20,849.0,42.45
38,2020-08-09 20:14:56+00:00,2020-08-09 20:15:44+00:00,34907,Havana,4,6,Philadelphia Fusion,48,1067.0,22.229166666666668
39,2020-08-09 20:16:08+00:00,2020-08-09 20:16:20+00:00,34907,Havana,4,7,Paris Eternal,12,-242.0,-20.166666666666668
40,2020-08-09 20:16:32+00:00,2020-08-09 20:17:04+00:00,34907,Havana,4,8,Philadelphia Fusion,32,903.0,28.21875
41,2020-08-09 20:17:28+00:00,2020-08-09 20:18:06+00:00,34907,Havana,4,9,Paris Eternal,38,-142.0,-3.736842105263158
42,2020-08-09 20:18:14+00:00,2020-08-09 20:18:26+00:00,34907,Havana,4,10,Paris Eternal,12,-176.0,-14.666666666666666
43,2020-08-09 20:18:28+00:00,2020-08-09 20:19:34+00:00,34907,Havana,4,11,Paris Eternal,66,-215.0,-3.257575757575758
44,2020-08-09 20:21:18+00:00,2020-08-09 20:22:10+00:00,34907,Havana,4,12,Philadelphia Fusion,52,723.0,13.903846153846153
45,2020-08-09 20:22:18+00:00,2020-08-09 20:23:14+00:00,34907,Havana,4,13,Paris Eternal,56,-57.0,-1.0178571428571428
46,2020-08-09 20:23:40+00:00,2020-08-09 20:24:32+00:00,34907,Havana,4,14,Philadelphia Fusion,52,459.0,8.826923076923077
47,2020-08-09 20:24:42+00:00,2020-08-09 20:25:10+00:00,34907,Havana,4,15,Philadelphia Fusion,28,724.0,25.857142857142858
