,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-07-05 20:12:38+00:00,2020-07-05 20:12:50+00:00,34752,Lijiang Tower,1,1,Philadelphia Fusion,12,-914.0,-76.16666666666667
1,2020-07-05 20:13:14+00:00,2020-07-05 20:14:12+00:00,34752,Lijiang Tower,1,2,Philadelphia Fusion,58,-1130.0,-19.482758620689655
2,2020-07-05 20:14:30+00:00,2020-07-05 20:15:12+00:00,34752,Lijiang Tower,1,3,Toronto Defiant,42,649.0,15.452380952380953
3,2020-07-05 20:15:40+00:00,2020-07-05 20:16:22+00:00,34752,Lijiang Tower,1,4,Toronto Defiant,42,520.0,12.380952380952381
4,2020-07-05 20:16:44+00:00,2020-07-05 20:17:24+00:00,34752,Lijiang Tower,1,5,Philadelphia Fusion,40,-1066.0,-26.65
5,2020-07-05 20:18:24+00:00,2020-07-05 20:18:54+00:00,34752,Lijiang Tower,1,6,Toronto Defiant,30,382.0,12.733333333333333
6,2020-07-05 20:19:02+00:00,2020-07-05 20:20:12+00:00,34752,Lijiang Tower,1,7,Philadelphia Fusion,70,-1318.0,-18.82857142857143
7,2020-07-05 20:20:26+00:00,2020-07-05 20:21:14+00:00,34752,Lijiang Tower,1,8,Philadelphia Fusion,48,-340.0,-7.083333333333333
8,2020-07-05 20:21:18+00:00,2020-07-05 20:21:46+00:00,34752,Lijiang Tower,1,9,Philadelphia Fusion,28,-1279.0,-45.67857142857143
9,2020-07-05 20:21:58+00:00,2020-07-05 20:22:32+00:00,34752,Lijiang Tower,1,10,Toronto Defiant,34,330.0,9.705882352941176
10,2020-07-05 20:22:36+00:00,2020-07-05 20:23:04+00:00,34752,Lijiang Tower,1,11,Toronto Defiant,28,678.0,24.214285714285715
11,2020-07-05 20:23:52+00:00,2020-07-05 20:24:50+00:00,34752,Lijiang Tower,1,12,Toronto Defiant,58,257.0,4.431034482758621
12,2020-07-05 20:25:08+00:00,2020-07-05 20:25:52+00:00,34752,Lijiang Tower,1,13,Philadelphia Fusion,44,-822.0,-18.681818181818183
13,2020-07-05 20:26:10+00:00,2020-07-05 20:26:46+00:00,34752,Lijiang Tower,1,14,Philadelphia Fusion,36,-696.0,-19.333333333333332
14,2020-07-05 20:27:16+00:00,2020-07-05 20:27:44+00:00,34752,Lijiang Tower,1,15,Philadelphia Fusion,28,-791.0,-28.25
15,2020-07-05 20:35:26+00:00,2020-07-05 20:35:38+00:00,34752,King's Row,2,1,Philadelphia Fusion,12,-550.0,-45.833333333333336
16,2020-07-05 20:36:02+00:00,2020-07-05 20:37:28+00:00,34752,King's Row,2,2,Toronto Defiant,86,498.0,5.790697674418604
17,2020-07-05 20:37:56+00:00,2020-07-05 20:38:14+00:00,34752,King's Row,2,3,Philadelphia Fusion,18,-728.0,-40.44444444444444
18,2020-07-05 20:38:56+00:00,2020-07-05 20:39:38+00:00,34752,King's Row,2,4,Toronto Defiant,42,667.0,15.880952380952381
19,2020-07-05 20:39:56+00:00,2020-07-05 20:40:24+00:00,34752,King's Row,2,5,Toronto Defiant,28,740.0,26.428571428571427
20,2020-07-05 20:40:50+00:00,2020-07-05 20:41:08+00:00,34752,King's Row,2,6,Philadelphia Fusion,18,-607.0,-33.72222222222222
21,2020-07-05 20:41:26+00:00,2020-07-05 20:41:46+00:00,34752,King's Row,2,7,Toronto Defiant,20,340.0,17.0
22,2020-07-05 20:41:48+00:00,2020-07-05 20:42:16+00:00,34752,King's Row,2,8,Toronto Defiant,28,747.0,26.678571428571427
23,2020-07-05 20:43:48+00:00,2020-07-05 20:44:20+00:00,34752,King's Row,2,9,Philadelphia Fusion,32,-1198.0,-37.4375
24,2020-07-05 20:44:36+00:00,2020-07-05 20:45:42+00:00,34752,King's Row,2,10,Philadelphia Fusion,66,-708.0,-10.727272727272727
25,2020-07-05 20:46:16+00:00,2020-07-05 20:47:06+00:00,34752,King's Row,2,11,Toronto Defiant,50,970.0,19.4
26,2020-07-05 20:47:28+00:00,2020-07-05 20:48:28+00:00,34752,King's Row,2,12,Philadelphia Fusion,60,-1226.0,-20.433333333333334
27,2020-07-05 20:48:52+00:00,2020-07-05 20:49:48+00:00,34752,King's Row,2,13,Philadelphia Fusion,56,-1772.0,-31.642857142857142
28,2020-07-05 20:51:18+00:00,2020-07-05 20:52:14+00:00,34752,King's Row,2,14,Philadelphia Fusion,56,-1399.0,-24.982142857142858
29,2020-07-05 20:53:48+00:00,2020-07-05 20:54:22+00:00,34752,King's Row,2,15,Philadelphia Fusion,34,-754.0,-22.176470588235293
30,2020-07-05 21:11:44+00:00,2020-07-05 21:12:10+00:00,34752,Temple of Anubis,3,1,Philadelphia Fusion,26,-789.0,-30.346153846153847
31,2020-07-05 21:12:28+00:00,2020-07-05 21:13:10+00:00,34752,Temple of Anubis,3,2,Philadelphia Fusion,42,-904.0,-21.523809523809526
32,2020-07-05 21:13:22+00:00,2020-07-05 21:13:32+00:00,34752,Temple of Anubis,3,3,Philadelphia Fusion,10,-165.0,-16.5
33,2020-07-05 21:13:42+00:00,2020-07-05 21:14:20+00:00,34752,Temple of Anubis,3,4,Philadelphia Fusion,38,-915.0,-24.07894736842105
34,2020-07-05 21:14:46+00:00,2020-07-05 21:15:18+00:00,34752,Temple of Anubis,3,5,Philadelphia Fusion,32,-1180.0,-36.875
35,2020-07-05 21:16:56+00:00,2020-07-05 21:17:54+00:00,34752,Temple of Anubis,3,6,Philadelphia Fusion,58,-338.0,-5.827586206896552
