,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-08 19:11:48+00:00,2020-08-08 19:12:26+00:00,34901,Busan,1,1,Dallas Fuel,38,538.0,14.157894736842104
1,2020-08-08 19:12:34+00:00,2020-08-08 19:12:54+00:00,34901,Busan,1,2,San Francisco Shock,20,-692.0,-34.6
2,2020-08-08 19:13:12+00:00,2020-08-08 19:13:38+00:00,34901,Busan,1,3,San Francisco Shock,26,-683.0,-26.26923076923077
3,2020-08-08 19:13:50+00:00,2020-08-08 19:14:30+00:00,34901,Busan,1,4,San Francisco Shock,40,-958.0,-23.95
4,2020-08-08 19:14:44+00:00,2020-08-08 19:15:14+00:00,34901,Busan,1,5,San Francisco Shock,30,-840.0,-28.0
5,2020-08-08 19:16:10+00:00,2020-08-08 19:16:50+00:00,34901,Busan,1,6,Dallas Fuel,40,203.0,5.075
6,2020-08-08 19:16:52+00:00,2020-08-08 19:17:12+00:00,34901,Busan,1,7,Dallas Fuel,20,433.0,21.65
7,2020-08-08 19:17:22+00:00,2020-08-08 19:18:00+00:00,34901,Busan,1,8,San Francisco Shock,38,-950.0,-25.0
8,2020-08-08 19:18:20+00:00,2020-08-08 19:18:52+00:00,34901,Busan,1,9,San Francisco Shock,32,-216.0,-6.75
9,2020-08-08 19:19:08+00:00,2020-08-08 19:19:58+00:00,34901,Busan,1,10,San Francisco Shock,50,-930.0,-18.6
10,2020-08-08 19:29:00+00:00,2020-08-08 19:29:16+00:00,34901,King's Row,2,1,San Francisco Shock,16,-760.0,-47.5
11,2020-08-08 19:29:34+00:00,2020-08-08 19:29:56+00:00,34901,King's Row,2,2,San Francisco Shock,22,-768.0,-34.90909090909091
12,2020-08-08 19:30:28+00:00,2020-08-08 19:31:12+00:00,34901,King's Row,2,3,San Francisco Shock,44,-525.0,-11.931818181818182
13,2020-08-08 19:31:20+00:00,2020-08-08 19:32:14+00:00,34901,King's Row,2,4,Dallas Fuel,54,329.0,6.092592592592593
14,2020-08-08 19:32:28+00:00,2020-08-08 19:33:08+00:00,34901,King's Row,2,5,Dallas Fuel,40,196.0,4.9
15,2020-08-08 19:33:18+00:00,2020-08-08 19:33:38+00:00,34901,King's Row,2,6,Dallas Fuel,20,801.0,40.05
16,2020-08-08 19:41:34+00:00,2020-08-08 19:41:52+00:00,34901,King's Row,2,7,San Francisco Shock,18,-226.0,-12.555555555555555
17,2020-08-08 19:42:02+00:00,2020-08-08 19:42:48+00:00,34901,King's Row,2,8,Dallas Fuel,46,190.0,4.130434782608695
18,2020-08-08 19:42:56+00:00,2020-08-08 19:43:22+00:00,34901,King's Row,2,9,San Francisco Shock,26,-1130.0,-43.46153846153846
19,2020-08-08 19:45:04+00:00,2020-08-08 19:46:02+00:00,34901,King's Row,2,10,San Francisco Shock,58,-857.0,-14.775862068965518
20,2020-08-08 19:46:14+00:00,2020-08-08 19:47:06+00:00,34901,King's Row,2,11,Dallas Fuel,52,585.0,11.25
21,2020-08-08 19:47:40+00:00,2020-08-08 19:48:18+00:00,34901,King's Row,2,12,San Francisco Shock,38,-441.0,-11.605263157894736
22,2020-08-08 19:48:44+00:00,2020-08-08 19:49:16+00:00,34901,King's Row,2,13,San Francisco Shock,32,-1055.0,-32.96875
23,2020-08-08 19:49:50+00:00,2020-08-08 19:50:24+00:00,34901,King's Row,2,14,Dallas Fuel,34,440.0,12.941176470588236
24,2020-08-08 19:50:54+00:00,2020-08-08 19:52:06+00:00,34901,King's Row,2,15,Dallas Fuel,72,580.0,8.055555555555555
25,2020-08-08 19:52:14+00:00,2020-08-08 19:52:40+00:00,34901,King's Row,2,16,San Francisco Shock,26,-739.0,-28.423076923076923
26,2020-08-08 19:52:44+00:00,2020-08-08 19:52:56+00:00,34901,King's Row,2,17,San Francisco Shock,12,-241.0,-20.083333333333332
27,2020-08-08 20:14:20+00:00,2020-08-08 20:14:42+00:00,34901,Hanamura,3,1,Dallas Fuel,22,957.0,43.5
28,2020-08-08 20:15:00+00:00,2020-08-08 20:15:42+00:00,34901,Hanamura,3,2,San Francisco Shock,42,-695.0,-16.547619047619047
29,2020-08-08 20:16:02+00:00,2020-08-08 20:16:56+00:00,34901,Hanamura,3,3,San Francisco Shock,54,-452.0,-8.37037037037037
30,2020-08-08 20:17:20+00:00,2020-08-08 20:17:56+00:00,34901,Hanamura,3,4,San Francisco Shock,36,-850.0,-23.61111111111111
31,2020-08-08 20:18:26+00:00,2020-08-08 20:19:42+00:00,34901,Hanamura,3,5,Dallas Fuel,76,317.0,4.171052631578948
32,2020-08-08 20:20:16+00:00,2020-08-08 20:20:42+00:00,34901,Hanamura,3,6,Dallas Fuel,26,555.0,21.346153846153847
33,2020-08-08 20:20:44+00:00,2020-08-08 20:21:12+00:00,34901,Hanamura,3,7,San Francisco Shock,28,-1043.0,-37.25
34,2020-08-08 20:23:06+00:00,2020-08-08 20:23:40+00:00,34901,Hanamura,3,8,San Francisco Shock,34,-847.0,-24.91176470588235
35,2020-08-08 20:24:18+00:00,2020-08-08 20:24:58+00:00,34901,Hanamura,3,9,San Francisco Shock,40,-1766.0,-44.15
