,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-07-19 19:07:50+00:00,2020-07-19 19:08:08+00:00,34831,Lijiang Tower,1,1,Paris Eternal,18,723.0,40.166666666666664
1,2020-07-19 19:08:12+00:00,2020-07-19 19:08:50+00:00,34831,Lijiang Tower,1,2,Paris Eternal,38,585.0,15.394736842105264
2,2020-07-19 19:09:02+00:00,2020-07-19 19:09:32+00:00,34831,Lijiang Tower,1,3,Toronto Defiant,30,-729.0,-24.3
3,2020-07-19 19:09:50+00:00,2020-07-19 19:10:32+00:00,34831,Lijiang Tower,1,4,Paris Eternal,42,1125.0,26.785714285714285
4,2020-07-19 19:10:36+00:00,2020-07-19 19:11:02+00:00,34831,Lijiang Tower,1,5,Paris Eternal,26,1202.0,46.23076923076923
5,2020-07-19 19:11:48+00:00,2020-07-19 19:12:40+00:00,34831,Lijiang Tower,1,6,Paris Eternal,52,1600.0,30.76923076923077
6,2020-07-19 19:12:54+00:00,2020-07-19 19:13:16+00:00,34831,Lijiang Tower,1,7,Paris Eternal,22,348.0,15.818181818181818
7,2020-07-19 19:13:42+00:00,2020-07-19 19:14:16+00:00,34831,Lijiang Tower,1,8,Toronto Defiant,34,-1046.0,-30.764705882352942
8,2020-07-19 19:14:34+00:00,2020-07-19 19:15:32+00:00,34831,Lijiang Tower,1,9,Toronto Defiant,58,-492.0,-8.482758620689655
9,2020-07-19 19:16:00+00:00,2020-07-19 19:16:30+00:00,34831,Lijiang Tower,1,10,Toronto Defiant,30,-755.0,-25.166666666666668
10,2020-07-19 19:16:32+00:00,2020-07-19 19:17:56+00:00,34831,Lijiang Tower,1,11,Paris Eternal,84,894.0,10.642857142857142
11,2020-07-19 19:24:44+00:00,2020-07-19 19:25:48+00:00,34831,Temple of Anubis,2,1,Paris Eternal,64,185.0,2.890625
12,2020-07-19 19:26:04+00:00,2020-07-19 19:26:40+00:00,34831,Temple of Anubis,2,2,Paris Eternal,36,1126.0,31.27777777777778
13,2020-07-19 19:28:40+00:00,2020-07-19 19:29:10+00:00,34831,Temple of Anubis,2,3,Paris Eternal,30,220.0,7.333333333333333
