,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-08-09 09:29:08+00:00,2020-08-09 09:29:24+00:00,34917,Lijiang Tower,1,1,Chengdu Hunters,16,-726.0,-45.375
1,2020-08-09 09:29:28+00:00,2020-08-09 09:30:42+00:00,34917,Lijiang Tower,1,2,Hangzhou Spark,74,327.0,4.418918918918919
2,2020-08-09 09:31:02+00:00,2020-08-09 09:32:04+00:00,34917,Lijiang Tower,1,3,Hangzhou Spark,62,873.0,14.080645161290322
3,2020-08-09 09:32:26+00:00,2020-08-09 09:32:54+00:00,34917,Lijiang Tower,1,4,Hangzhou Spark,28,1154.0,41.214285714285715
4,2020-08-09 09:33:48+00:00,2020-08-09 09:34:50+00:00,34917,Lijiang Tower,1,5,Hangzhou Spark,62,635.0,10.241935483870968
5,2020-08-09 09:34:56+00:00,2020-08-09 09:35:14+00:00,34917,Lijiang Tower,1,6,Hangzhou Spark,18,655.0,36.388888888888886
6,2020-08-09 09:35:20+00:00,2020-08-09 09:36:04+00:00,34917,Lijiang Tower,1,7,Chengdu Hunters,44,-1395.0,-31.704545454545453
7,2020-08-09 09:36:24+00:00,2020-08-09 09:36:54+00:00,34917,Lijiang Tower,1,8,Hangzhou Spark,30,1149.0,38.3
8,2020-08-09 09:37:10+00:00,2020-08-09 09:37:44+00:00,34917,Lijiang Tower,1,9,Chengdu Hunters,34,-665.0,-19.558823529411764
9,2020-08-09 09:38:02+00:00,2020-08-09 09:38:48+00:00,34917,Lijiang Tower,1,10,Hangzhou Spark,46,665.0,14.456521739130435
10,2020-08-09 10:05:08+00:00,2020-08-09 10:05:26+00:00,34917,Numbani,2,1,Hangzhou Spark,18,374.0,20.77777777777778
11,2020-08-09 10:05:30+00:00,2020-08-09 10:05:40+00:00,34917,Numbani,2,2,Hangzhou Spark,10,231.0,23.1
12,2020-08-09 10:05:52+00:00,2020-08-09 10:06:02+00:00,34917,Numbani,2,3,Hangzhou Spark,10,209.0,20.9
13,2020-08-09 10:06:24+00:00,2020-08-09 10:06:54+00:00,34917,Numbani,2,4,Hangzhou Spark,30,994.0,33.13333333333333
14,2020-08-09 10:07:14+00:00,2020-08-09 10:07:40+00:00,34917,Numbani,2,5,Hangzhou Spark,26,658.0,25.307692307692307
15,2020-08-09 10:07:48+00:00,2020-08-09 10:08:30+00:00,34917,Numbani,2,6,Chengdu Hunters,42,-275.0,-6.5476190476190474
16,2020-08-09 10:08:42+00:00,2020-08-09 10:09:28+00:00,34917,Numbani,2,7,Chengdu Hunters,46,-650.0,-14.130434782608695
17,2020-08-09 10:09:32+00:00,2020-08-09 10:09:48+00:00,34917,Numbani,2,8,Chengdu Hunters,16,-705.0,-44.0625
18,2020-08-09 10:09:58+00:00,2020-08-09 10:10:12+00:00,34917,Numbani,2,9,Hangzhou Spark,14,55.0,3.9285714285714284
19,2020-08-09 10:10:16+00:00,2020-08-09 10:10:46+00:00,34917,Numbani,2,10,Chengdu Hunters,30,-308.0,-10.266666666666667
20,2020-08-09 10:10:56+00:00,2020-08-09 10:11:42+00:00,34917,Numbani,2,11,Chengdu Hunters,46,-975.0,-21.195652173913043
21,2020-08-09 10:11:48+00:00,2020-08-09 10:11:58+00:00,34917,Numbani,2,12,Hangzhou Spark,10,165.0,16.5
22,2020-08-09 10:12:02+00:00,2020-08-09 10:12:44+00:00,34917,Numbani,2,13,Hangzhou Spark,42,1403.0,33.404761904761905
23,2020-08-09 10:14:26+00:00,2020-08-09 10:16:20+00:00,34917,Numbani,2,14,Chengdu Hunters,114,-620.0,-5.43859649122807
24,2020-08-09 10:16:48+00:00,2020-08-09 10:17:18+00:00,34917,Numbani,2,15,Chengdu Hunters,30,-493.0,-16.433333333333334
25,2020-08-09 10:17:22+00:00,2020-08-09 10:17:52+00:00,34917,Numbani,2,16,Chengdu Hunters,30,-995.0,-33.166666666666664
26,2020-08-09 10:18:10+00:00,2020-08-09 10:18:30+00:00,34917,Numbani,2,17,Hangzhou Spark,20,600.0,30.0
27,2020-08-09 10:18:52+00:00,2020-08-09 10:19:26+00:00,34917,Numbani,2,18,Hangzhou Spark,34,975.0,28.676470588235293
28,2020-08-09 10:19:48+00:00,2020-08-09 10:20:12+00:00,34917,Numbani,2,19,Hangzhou Spark,24,756.0,31.5
29,2020-08-09 10:20:22+00:00,2020-08-09 10:21:20+00:00,34917,Numbani,2,20,Hangzhou Spark,58,534.0,9.206896551724139
30,2020-08-09 10:21:40+00:00,2020-08-09 10:22:30+00:00,34917,Numbani,2,21,Hangzhou Spark,50,1809.0,36.18
31,2020-08-09 10:37:56+00:00,2020-08-09 10:38:26+00:00,34917,Volskaya Industries,3,1,Hangzhou Spark,30,1279.0,42.63333333333333
32,2020-08-09 10:38:52+00:00,2020-08-09 10:39:18+00:00,34917,Volskaya Industries,3,2,Chengdu Hunters,26,-264.0,-10.153846153846153
33,2020-08-09 10:39:34+00:00,2020-08-09 10:40:36+00:00,34917,Volskaya Industries,3,3,Chengdu Hunters,62,-780.0,-12.580645161290322
34,2020-08-09 10:40:42+00:00,2020-08-09 10:41:42+00:00,34917,Volskaya Industries,3,4,Chengdu Hunters,60,-704.0,-11.733333333333333
35,2020-08-09 10:42:06+00:00,2020-08-09 10:42:44+00:00,34917,Volskaya Industries,3,5,Chengdu Hunters,38,-931.0,-24.5
36,2020-08-09 10:43:02+00:00,2020-08-09 10:44:52+00:00,34917,Volskaya Industries,3,6,Chengdu Hunters,110,-130.0,-1.1818181818181819
37,2020-08-09 10:46:30+00:00,2020-08-09 10:47:30+00:00,34917,Volskaya Industries,3,7,Chengdu Hunters,60,-595.0,-9.916666666666666
38,2020-08-09 10:47:48+00:00,2020-08-09 10:48:14+00:00,34917,Volskaya Industries,3,8,Hangzhou Spark,26,275.0,10.576923076923077
39,2020-08-09 10:48:28+00:00,2020-08-09 10:48:58+00:00,34917,Volskaya Industries,3,9,Chengdu Hunters,30,-914.0,-30.466666666666665
40,2020-08-09 10:55:28+00:00,2020-08-09 10:55:46+00:00,34917,Watchpoint: Gibraltar,4,1,Chengdu Hunters,18,-593.0,-32.94444444444444
41,2020-08-09 10:56:00+00:00,2020-08-09 10:56:54+00:00,34917,Watchpoint: Gibraltar,4,2,Hangzhou Spark,54,1104.0,20.444444444444443
42,2020-08-09 10:57:04+00:00,2020-08-09 10:57:26+00:00,34917,Watchpoint: Gibraltar,4,3,Hangzhou Spark,22,440.0,20.0
43,2020-08-09 10:57:32+00:00,2020-08-09 10:57:44+00:00,34917,Watchpoint: Gibraltar,4,4,Hangzhou Spark,12,445.0,37.083333333333336
44,2020-08-09 10:58:02+00:00,2020-08-09 10:58:44+00:00,34917,Watchpoint: Gibraltar,4,5,Chengdu Hunters,42,-886.0,-21.095238095238095
