,TF_start_datetime,TF_end_datetime,esports_match_id,map_name,map_order,TF_order,TF_winner,TF_duration,TF_TPB_sum,TF_TPB_sum/s
0,2020-06-20 10:36:36+00:00,2020-06-20 10:37:06+00:00,34621,Nepal,1,1,London Spitfire,30,264.0,8.8
1,2020-06-20 10:37:26+00:00,2020-06-20 10:38:02+00:00,34621,Nepal,1,2,Chengdu Hunters,36,-275.0,-7.638888888888889
2,2020-06-20 10:38:08+00:00,2020-06-20 10:38:36+00:00,34621,Nepal,1,3,Chengdu Hunters,28,-40.0,-1.4285714285714286
3,2020-06-20 10:38:46+00:00,2020-06-20 10:38:56+00:00,34621,Nepal,1,4,Chengdu Hunters,10,-209.0,-20.9
4,2020-06-20 10:39:10+00:00,2020-06-20 10:39:20+00:00,34621,Nepal,1,5,London Spitfire,10,165.0,16.5
5,2020-06-20 10:39:26+00:00,2020-06-20 10:40:16+00:00,34621,Nepal,1,6,London Spitfire,50,994.0,19.88
6,2020-06-20 10:40:26+00:00,2020-06-20 10:41:08+00:00,34621,Nepal,1,7,Chengdu Hunters,42,-697.0,-16.595238095238095
7,2020-06-20 10:42:36+00:00,2020-06-20 10:43:22+00:00,34621,Nepal,1,8,Chengdu Hunters,46,-1013.0,-22.02173913043478
8,2020-06-20 10:43:24+00:00,2020-06-20 10:44:38+00:00,34621,Nepal,1,9,Chengdu Hunters,74,-1297.0,-17.527027027027028
9,2020-06-20 10:44:58+00:00,2020-06-20 10:45:22+00:00,34621,Nepal,1,10,Chengdu Hunters,24,-1505.0,-62.708333333333336
10,2020-06-20 10:45:44+00:00,2020-06-20 10:46:54+00:00,34621,Nepal,1,11,Chengdu Hunters,70,-1508.0,-21.542857142857144
11,2020-06-20 10:47:44+00:00,2020-06-20 10:48:00+00:00,34621,Nepal,1,12,Chengdu Hunters,16,-731.0,-45.6875
12,2020-06-20 10:48:10+00:00,2020-06-20 10:48:44+00:00,34621,Nepal,1,13,London Spitfire,34,217.0,6.382352941176471
13,2020-06-20 10:49:10+00:00,2020-06-20 10:51:02+00:00,34621,Nepal,1,14,Chengdu Hunters,112,-3597.0,-32.11607142857143
14,2020-06-20 10:51:20+00:00,2020-06-20 10:52:06+00:00,34621,Nepal,1,15,Chengdu Hunters,46,-572.0,-12.434782608695652
15,2020-06-20 11:02:50+00:00,2020-06-20 11:03:16+00:00,34621,Junkertown,2,1,London Spitfire,26,938.0,36.07692307692308
16,2020-06-20 11:03:36+00:00,2020-06-20 11:03:46+00:00,34621,Junkertown,2,2,Chengdu Hunters,10,-22.0,-2.2
17,2020-06-20 11:04:02+00:00,2020-06-20 11:04:30+00:00,34621,Junkertown,2,3,London Spitfire,28,1231.0,43.964285714285715
18,2020-06-20 11:05:28+00:00,2020-06-20 11:05:38+00:00,34621,Junkertown,2,4,London Spitfire,10,209.0,20.9
19,2020-06-20 11:05:40+00:00,2020-06-20 11:06:22+00:00,34621,Junkertown,2,5,Chengdu Hunters,42,-620.0,-14.761904761904763
20,2020-06-20 11:06:50+00:00,2020-06-20 11:08:30+00:00,34621,Junkertown,2,6,Chengdu Hunters,100,-297.0,-2.97
21,2020-06-20 11:08:58+00:00,2020-06-20 11:09:34+00:00,34621,Junkertown,2,7,London Spitfire,36,1390.0,38.611111111111114
22,2020-06-20 11:11:44+00:00,2020-06-20 11:12:38+00:00,34621,Junkertown,2,8,Chengdu Hunters,54,-797.0,-14.75925925925926
23,2020-06-20 11:12:42+00:00,2020-06-20 11:12:52+00:00,34621,Junkertown,2,9,Chengdu Hunters,10,-154.0,-15.4
24,2020-06-20 11:13:26+00:00,2020-06-20 11:14:12+00:00,34621,Junkertown,2,10,Chengdu Hunters,46,-565.0,-12.282608695652174
25,2020-06-20 11:14:50+00:00,2020-06-20 11:15:50+00:00,34621,Junkertown,2,11,London Spitfire,60,467.0,7.783333333333333
